0.0175873f,0.375237f,-0.0156004f
0.0252234f,0.37523f,-0.0152949f
0.0328343f,0.375269f,-0.0154601f
0.0404257f,0.375355f,-0.0154246f
0.0480437f,0.37538f,-0.0157881f
0.0556469f,0.375447f,-0.0167544f
0.0632327f,0.375585f,-0.0182164f
0.0708381f,0.375676f,-0.0202845f
0.0784405f,0.375805f,-0.021961f
0.086043f,0.375987f,-0.0245103f
0.0936657f,0.376093f,-0.0265995f
0.101286f,0.376326f,-0.0300822f
0.108924f,0.376527f,-0.0342782f
0.116578f,0.376784f,-0.0388564f
0.124251f,0.37706f,-0.0452929f
0.131953f,0.377401f,-0.052296f
0.139691f,0.377813f,-0.0597437f
0.147451f,0.378173f,-0.0686132f
0.155282f,0.378712f,-0.078345f
0.16312f,0.379123f,-0.0869182f
0.171031f,0.379659f,-0.0988409f
0.17901f,0.380263f,-0.111577f
0.187049f,0.380894f,-0.125789f
0.195213f,0.381688f,-0.14179f
-0.220997f,0.371699f,-0.138702f
-0.211553f,0.370904f,-0.1223f
-0.202517f,0.370286f,-0.105507f
-0.193735f,0.369776f,-0.0928263f
-0.185123f,0.369333f,-0.0809811f
-0.176667f,0.368956f,-0.0702199f
-0.168137f,0.36851f,-0.0591475f
-0.159842f,0.368182f,-0.0500695f
-0.151621f,0.367879f,-0.0421207f
-0.143512f,0.367629f,-0.0349052f
-0.135499f,0.367426f,-0.0290282f
-0.127544f,0.367247f,-0.0244333f
-0.11966f,0.367105f,-0.0202271f
-0.111907f,0.367047f,-0.0172513f
-0.104065f,0.366915f,-0.0138763f
-0.0963368f,0.36686f,-0.0113095f
-0.0886069f,0.366797f,-0.00927794f
-0.0808602f,0.366711f,-0.00664641f
-0.073253f,0.36674f,-0.00560842f
-0.0655747f,0.366702f,-0.00452568f
-0.0579607f,0.366719f,-0.00438271f
-0.0503988f,0.366788f,-0.00459401f
-0.0428053f,0.366825f,-0.00432653f
-0.0352298f,0.366883f,-0.00567427f
-0.0277061f,0.367004f,-0.00712343f
-0.0201537f,0.367098f,-0.00818776f
-0.0125691f,0.367156f,-0.00933078f
-0.00500573f,0.367246f,-0.0100083f
0.00258866f,0.367297f,-0.0102591f
0.0101956f,0.367328f,-0.0106973f
0.0177698f,0.367415f,-0.0109505f
0.0253851f,0.367432f,-0.010621f
0.0329877f,0.367471f,-0.0108872f
0.0405769f,0.367542f,-0.0110916f
0.0481862f,0.367567f,-0.0110814f
0.0557783f,0.36764f,-0.0119902f
0.0633652f,0.36774f,-0.0130217f
0.0709611f,0.367827f,-0.0143533f
0.078564f,0.3679f,-0.0160337f
0.0861558f,0.368064f,-0.0182563f
0.0937593f,0.368224f,-0.020917f
0.101375f,0.368362f,-0.0234546f
0.108999f,0.368567f,-0.0273489f
0.116639f,0.368815f,-0.0316158f
0.124294f,0.369015f,-0.0367329f
0.131985f,0.369394f,-0.043214f
0.13969f,0.369677f,-0.0501287f
0.147457f,0.370147f,-0.0595436f
0.155256f,0.370593f,-0.0688737f
0.163078f,0.370991f,-0.0786363f
0.170983f,0.371538f,-0.090318f
0.178907f,0.372014f,-0.102301f
0.186967f,0.372715f,-0.116639f
0.195074f,0.373388f,-0.131443f
-0.219754f,0.363263f,-0.127248f
-0.228769f,0.363791f,-0.140419f
-0.210767f,0.362721f,-0.112196f
-0.201822f,0.362171f,-0.0974243f
-0.193091f,0.361705f,-0.084755f
-0.184426f,0.361247f,-0.0724167f
-0.175945f,0.360866f,-0.061053f
-0.167487f,0.360473f,-0.0507226f
-0.15908f,0.360086f,-0.0406299f
-0.150906f,0.359816f,-0.0327677f
-0.142804f,0.359571f,-0.0256865f
-0.134932f,0.359458f,-0.0213075f
